Path,Date,Width,Height
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Creating_SettingUp_Goal/Snap7.png,1335913478000,1472,947
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Creating_SettingUp_Goal/Snap6.png,1335913496000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Creating_SettingUp_Goal/Snap5.png,1335913512000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Creating_SettingUp_Goal/Snap4.png,1335913526000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Creating_SettingUp_Goal/Snap3.png,1335913542000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Creating_SettingUp_Goal/Snap2.png,1335913564000,1472,946
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/Creating_SettingUp_Goal/Snap1.png,1335913582000,1472,947
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/OnBoarding/IVY_completeOnboard.png,1335921224000,1145,751
/Users/fanguo/Documents/Design File/Gamification/Ref/HCM Gamification Flows/OnBoarding/IVY_completeOnboard_02.png,1335921242000,1151,749
/Users/fanguo/Documents/Design File/Gamification/UI TOOLKIT/Notifications/Notification4.png,1337296210000,357,247
/Users/fanguo/Documents/Design File/Gamification/UI TOOLKIT/Notifications/Notification5.png,1337296530000,226,257
/Users/fanguo/Documents/Design File/Gamification/UI TOOLKIT/UI-KITv1.png,1337296740000,1000,1000
/Users/fanguo/Documents/Design File/Gamification/UI TOOLKIT/UI-KITv2.png,1337297636000,1000,1000
/Users/fanguo/Documents/Design File/Gamification/UI TOOLKIT/Notifications/NotificationMuted5.png,1337356644000,204,234
/Users/fanguo/Documents/Design File/Gamification/UI TOOLKIT/Notifications/Notification4Muted.png,1337356681000,333,231
/Users/fanguo/Documents/Design File/PersonGallery/Person_Gallery_Search.png,1341351289000,1371,864
/Users/fanguo/Documents/Design File/PersonGallery/Person_Gallery_Search_keyword.png,1341351295000,1375,868
/Users/fanguo/Documents/Design File/PersonGallery/PersonGallery_1.png,1341615377000,1280,1198
/Users/fanguo/Documents/Design File/PersonGallery/PersonGallery_1_filter.png,1341615378000,1280,1024
/Users/fanguo/Documents/Design File/Portrait/experience_quals.png,1341943712000,1392,636
/Users/fanguo/Documents/Design File/Portrait/experience_quals2.png,1341943719000,1381,300
/Users/fanguo/Documents/Design File/Portrait/devandgrowth.png,1341943723000,1109,621
/Users/fanguo/Documents/Design File/PersonGallery/PersonGallery_NewBG-01.png,1342029061000,1280,1025
/Users/fanguo/Documents/Design File/PersonGallery/PersonGallery_NewBG-02.png,1342029062000,1280,1024
/Users/fanguo/Documents/Design File/PersonGallery/PersonGallery_NewBG-03.png,1342029063000,1280,1024
/Users/fanguo/Documents/Design File/Compensation/Compmaxcard.png,1342114894000,950,676
/Users/fanguo/Documents/Design File/Compensation/comp_and_benefits_NEW.png,1342119218000,1024,768
/Users/fanguo/Documents/Design File/Compensation/comp_and_benefits_NEW_2.png,1342211642000,1024,768
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/Edit_Personal_Info_Personal_Contacts.png,1342218702000,945,722
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/edit_info.png,1342218774000,1028,770
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/MyContacts.png,1342224486000,1018,762
/Users/fanguo/Documents/Design File/Compensation/comp_and_benefits_3.png,1342471972000,1024,768
/Users/fanguo/Documents/Design File/DocumentRecard/wireframe.png,1342474126000,922,692
/Users/fanguo/Documents/Design File/DocumentRecard/DocRecord_Start.png,1342483309000,1018,762
/Users/fanguo/Documents/Design File/DocumentRecard/DocRecord_AddNew.png,1342483327000,1018,762
/Users/fanguo/Documents/Design File/DocumentRecard/DocRecord_Detail.png,1342483375000,1018,762
/Users/fanguo/Documents/Design File/DocumentRecard/DocRecord_Edit.png,1342483390000,1018,762
/Users/fanguo/Documents/Design File/DocumentRecard/DocRecord_Alt_Detail.png,1342484891000,1018,762
/Users/fanguo/Documents/Design File/DocumentRecard/DocRecord_Alt_Normal.png,1342484917000,1018,762
/Users/fanguo/Documents/Design File/DocumentRecard/New/DocRecord_Detail.png,1342488639000,1018,762
/Users/fanguo/Documents/Design File/DocumentRecard/New/DocRecord_Edit.png,1342488668000,1018,762
/Users/fanguo/Documents/Design File/DocumentRecard/New/DocRecord_Add.png,1342488694000,1018,762
/Users/fanguo/Documents/Design File/DocumentRecard/New/DocRecord_Start.png,1342488710000,1018,762
/Users/fanguo/Documents/Design File/Compensation/comp_and_benefits_4.png,1342563692000,1024,768
/Users/fanguo/Documents/Design File/Compensation/benifit.png,1342628355000,1647,764
/Users/fanguo/Documents/Design File/Compensation/benefit_detail.png,1342646012000,1024,768
/Users/fanguo/Documents/Design File/Compensation/benefits_main.png,1342646026000,1024,768
/Users/fanguo/Documents/Design File/Compensation/benefits_main_row.png,1342654729000,1024,768
/Users/fanguo/Documents/Design File/Compensation/benefits_detail_row.png,1342658566000,1024,768
/Users/fanguo/Documents/Design File/Compensation/benefits_NEW.png,1342722829000,1024,768
/Users/fanguo/Documents/Design File/Compensation/benefits_row.png,1342728408000,1024,768
/Users/fanguo/Documents/Design File/Compensation/Benefit_Jul19.png,1342737812000,1024,768
/Users/fanguo/Documents/Design File/Compensation/Benefit_Jul23.png,1343081892000,1024,768
/Users/fanguo/Documents/Design File/Compensation/Benefit_Jul23_2.png,1343088529000,1024,768
/Users/fanguo/Documents/Design File/Calendar/TimeEntry_NEW.png,1343159673000,1024,768
/Users/fanguo/Documents/Design File/Calendar/TimeEntry_NEW_1.png,1343164150000,1024,768
/Users/fanguo/Documents/Design File/Calendar/TimeEntry_NEW_3.png,1343167004000,1024,768
/Users/fanguo/Documents/Design File/Calendar/TimeEntry_NEW_2.png,1343167094000,1024,768
/Users/fanguo/Documents/Design File/Calendar/TimeEntry_NEW_clear.png,1343167130000,1024,768
/Users/fanguo/Documents/Design File/Calendar/New/Calendar_NEW.png,1343260044000,1024,768
/Users/fanguo/Documents/Design File/Calendar/New/Calendar_NEW_blue.png,1343260743000,1024,768
/Users/fanguo/Documents/Design File/Calendar/New/Calendar_NEW_ALT.png,1343261471000,1024,768
/Users/fanguo/Documents/Design File/Calendar/New/Calendar_NEW_ALT_2.png,1343326618000,1024,768
/Users/fanguo/Documents/Design File/Calendar/New/Calendar_NEW_2.png,1343327057000,1024,768
/Users/fanguo/Documents/Design File/Calendar/New/calendar_ADF.png,1343343207000,1064,753
/Users/fanguo/Documents/Design File/Calendar/New/Calendar_NEW_3.png,1343347112000,1024,768
/Users/fanguo/Documents/Design File/Calendar/New/Calendar_NEW_ALT_3.png,1343350074000,1024,768
/Users/fanguo/Documents/Design File/Calendar/New/Calendar_NEW_ALT_FINAL.png,1343426519000,1024,768
/Users/fanguo/Documents/Design File/Calendar/New/Calendar_NEW_ALT_FINAL_SIMPLE.png,1343431816000,1024,768
/Users/fanguo/Documents/Design File/Calendar/Calendar_NEW_SIMPLE.png,1343673259000,1024,768
/Users/fanguo/Documents/Design File/Compensation/Benefit_Jul31.png,1343767961000,1024,768
/Users/fanguo/Documents/Design File/Compensation/Benefit_Aug1.png,1343841309000,1024,768
/Users/fanguo/Documents/Design File/Compensation/Benefit_Aug1_2.png,1343843537000,1024,768
/Users/fanguo/Documents/Design File/ReportStore/Report%20Store.png,1343867675000,2183,611
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_Aug1.png,1343868531000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_ALT-01.png,1344291953000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_ALT-03.png,1344291953000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_ALT-02.png,1344291954000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_ALT_04.png,1344291955000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportStore-02.png,1344298003000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_ALT_Artboard 5.png,1344301297000,1281,1025
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_ALT_Artboard 6.png,1344301298000,1281,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportDiscovery_Aug7.png,1344384397000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportDiscovery_Aug8-04.png,1344471535000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportDiscovery_Aug8-05.png,1344471537000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/ReportDiscovery_Aug10.png,1344623972000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/Aug13All/1_0.png,1344886663000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/Aug13All/1_2.png,1344886664000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/Aug13All/2_3.png,1344886665000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/Aug13All/2_0.png,1344886666000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/Aug13All/1_1.png,1344886667000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/Aug13All/2_1.png,1344886668000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/Aug13All/2_2.png,1344886669000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/Aug20/ReportDiscovery_ALT2_0.png,1345063332000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/Aug20/ReportDiscovery_ALT2_1.png,1345063333000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_3-06_sally.png,1345066249000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_2-04.png,1345076735000,1280,1024
/Users/fanguo/Documents/Design File/ReportStore/ReportStore_3-09.png,1345156698000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/Aug20/ReportDiscovery_ALT1_0.png,1345159463000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/Aug20/ReportDiscovery_ALT1_1.png,1345159464000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/Aug20/ReportDiscovery_ALT3_1.png,1345159573000,1280,1025
/Users/fanguo/Documents/Design File/ReportStore/Aug20/ReportDiscovery_ALT3_0.png,1345159574000,1280,1024
/Users/fanguo/Documents/Design File/TraingPoster/MngrDsbd-02.png,1345505564000,4267,3200
/Users/fanguo/Documents/Design File/TraingPoster/MngrDsbd-01.png,1345505567000,4267,3200
/Users/fanguo/Documents/Design File/TraingPoster/UITrueUp_MgrDash_NEW-01.png,1345506579000,3024,2592
/Users/fanguo/Documents/Design File/ReportStore/ReportDicovery.png,1345831395000,4531,2333
/Users/fanguo/Documents/Design File/ReportStore/ReportDiscovery_Aug24.png,1345848552000,4292,1119
/Users/fanguo/Documents/Design File/ReportStore/NewBG-03.png,1346106882000,1281,1025
/Users/fanguo/Documents/Design File/ReportStore/ReportDiscovery_NewDashboard.png,1346107046000,5754,1119
/Users/fanguo/Documents/Design File/ReportStore/ReportDiscovery_Aug27.png,1346112363000,5754,1119
/Users/fanguo/Documents/Design File/misc/FUSE_BG_GRAYSCALE.png,1346285697000,1280,1024
/Users/fanguo/Documents/Design File/Gamification/Spec_ref/Typefaces/League_Gothic/images/league-gothic-1.png,1347287100000,800,300
/Users/fanguo/Documents/Design File/Gamification/Spec_ref/Typefaces/League_Gothic/images/league-gothic-2.png,1347287100000,800,300
/Users/fanguo/Documents/Design File/Gamification/Spec_ref/Typefaces/League_Gothic/images/league-gothic-3.png,1347287100000,800,300
/Users/fanguo/Documents/Design File/Gamification/Spec_ref/Typefaces/League_Gothic/images/league-gothic-4.png,1347287100000,800,300
/Users/fanguo/Documents/Design File/Gamification/Spec_ref/Typefaces/League_Gothic/images/league-gothic-6.png,1347287100000,800,300
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/PersonalInfo_NEW_ALT.png,1347304340000,1018,762
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/PersonalInfo_NEW.png,1347307293000,1018,762
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/MyContact_NEW_ALT.png,1347319015000,1018,762
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/MyContact_NEW.png,1347320037000,1018,762
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/MyContact_NEW_ALT2.png,1347398245000,1018,762
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/PersonalInfo_NEW2.png,1347398257000,1018,762
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/MyContact_NEW_ALT3.png,1347404915000,1018,762
/Users/fanguo/Documents/Design File/PersonalInfo_MyContact/PersonalInfo_NEW3.png,1347404926000,1018,762
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/Sept12-01.png,1347485843000,1280,1024
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/Sept12-03.png,1347485844000,1280,1025
/Users/fanguo/Documents/Design File/FUSEmanager/fusion.png,1347924637000,1920,824
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/ManagerDashboard_Sept19.png,1348095686000,5457,2252
/Users/fanguo/Documents/Design File/FUSE Presentation/fuse_peformance.png,1348527066000,1260,871
/Users/fanguo/Documents/Design File/FUSE Presentation/Performance_fusindrill.png,1348527165000,1024,768
/Users/fanguo/Documents/Design File/FUSE Presentation/3_0.png,1348529443000,1024,768
/Users/fanguo/Documents/Design File/FUSE Presentation/2_0.png,1348529464000,1024,768
/Users/fanguo/Documents/Design File/FUSE Presentation/1_0.png,1348529566000,1024,768
/Users/fanguo/Documents/Design File/FUSE Presentation/3_1.png,1348530037000,1280,1024
/Users/fanguo/Documents/Design File/FUSE Presentation/FUSE_Presentation-01.png,1348537728000,1280,800
/Users/fanguo/Documents/Design File/FUSE Presentation/FUSE_Presentation-02.png,1348537729000,1281,800
/Users/fanguo/Documents/Design File/FUSE Presentation/2_1.png,1348537791000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/Start_Employee.png,1349889659000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/Start_Manager.png,1349889660000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/Manager_1.png,1349889739000,1024,768
/Users/fanguo/Documents/Design File/Gamification/onBoarding-3.png,1349900699000,1024,768
/Users/fanguo/Documents/Design File/Gamification/onBoarding-4.png,1349900700000,1024,769
/Users/fanguo/Documents/Design File/Gamification/onBoarding-2.png,1349900701000,1024,769
/Users/fanguo/Documents/Design File/Gamification/onBoarding-0.png,1349900702000,1024,769
/Users/fanguo/Documents/Design File/Gamification/onBoarding-1.png,1349900703000,1024,769
/Users/fanguo/Documents/Design File/Gamification/Grid_0.png,1349900704000,1024,768
/Users/fanguo/Documents/Design File/Gamification/Grid_1.png,1349900705000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/main_ALT.png,1350086975000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/main_manager.png,1350086975000,1024,769
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/main.png,1350086976000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/main_employee.png,1350086977000,1024,769
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/Start_ALT_Employee.png,1350088225000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/Start_ALT_Manager.png,1350088225000,1025,769
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/main_ALT_employee.png,1350324423000,1024,768
/Users/fanguo/Documents/Design File/Gamification/FUSE.png,1350587499000,936,585
/Users/fanguo/Documents/Design File/Gamification/FUSE_PerformanceGoals.png,1350588520000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/perspective_1.png,1351293636000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/perspective_2.png,1351293900000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/springboard-05.png,1351535687000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/springboard-06.png,1351535688000,1025,769
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/springboard-07.png,1351535688000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/springboard-08.png,1351535689000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/springboard-09.png,1351546517000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/springboard.png,1351546558000,1024,768
/Users/fanguo/Documents/Design File/Gamification/onBoarding_1-01.png,1351557008000,1024,768
/Users/fanguo/Documents/Design File/Gamification/onBoarding_1-03.png,1351557009000,1024,769
/Users/fanguo/Documents/Design File/Gamification/EditGoal_final_R7.png,1352249357000,1015,742
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/Springboard_ALL.png,1352254856000,9825,3632
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/springboard3D.png,1352324497000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/springboard3D_2.png,1352324569000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-07.png,1352326129000,1025,769
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-11.png,1352326130000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-12.png,1352326131000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-14.png,1352326132000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-15.png,1352326133000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-16.png,1352326134000,1025,769
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-17.png,1352326134000,1025,769
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-05.png,1352327601000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-10.png,1352327602000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-06.png,1352328034000,1025,769
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-02.png,1352329021000,1025,768
/Users/fanguo/Documents/Design File/FUSEmanager/Nov7/Springboard-04.png,1352329022000,1025,769
/Users/fanguo/Documents/Design File/Gamification/Badges.png,1352511606000,1000,700
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Promotion/Untitled.png,1352844681000,1917,909
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/main.png,1352847800000,1916,962
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Promotion/1_1.png,1352848031000,1917,628
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Promotion/2.png,1352848160000,1916,904
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Transfer/2.png,1352848160000,1916,904
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Promotion/2_1.png,1352848203000,1895,224
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Transfer/2_1.png,1352848203000,1895,224
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Promotion/3.png,1352848244000,1920,678
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Transfer/3.png,1352848244000,1920,678
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Promotion/4.png,1352848449000,1913,905
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Promotion/4_1.png,1352848484000,1920,552
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Transfer/4_1.png,1352848484000,1920,552
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Promotion/4_2.png,1352848512000,1616,588
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Transfer/4_2.png,1352848512000,1616,588
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Termination/1.png,1352848624000,1920,677
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Transfer/1.png,1352848958000,1920,693
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Transfer/4.png,1352849286000,1920,878
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Change Manager/1.png,1352849414000,1920,521
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Change Manager/1_1.png,1352849452000,794,758
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Change Location/1.png,1352849538000,1920,554
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Change Location/1_1.png,1352849560000,577,671
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Change Work Schedule/1.png,1352849634000,1920,612
/Users/fanguo/Documents/Design File/misc/frenzy.png,1353017219000,1920,1080
/Users/fanguo/Documents/Design File/Gamification/onBoarding_NEW-04.png,1353034863000,1025,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/3.png,1353110365000,1024,768
/Users/fanguo/Documents/Design File/Gamification/onboarding/2.png,1353110366000,1024,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/1.png,1353110367000,1024,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/4.png,1353110368000,1024,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/5.png,1353110369000,1024,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/6.png,1353110370000,1024,769
/Users/fanguo/Documents/Design File/ALTA/FUSE_Manager_AtomicAction/Promotion/1.png,1353361700000,1921,1017
/Users/fanguo/Documents/Design File/Gamification/onboarding/onBoarding_3_final-14.png,1353446306000,1025,769
/Users/fanguo/Documents/Design File/Gamification/banners/arrows.png,1353446593000,280,250
/Users/fanguo/Documents/Design File/Gamification/banners/arrows_1.png,1353448035000,280,250
/Users/fanguo/Documents/Design File/Gamification/banners/arrows_2.png,1353448061000,280,250
/Users/fanguo/Documents/Design File/Gamification/onboarding/initl-14.png,1353455504000,1025,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/nov20/4.png,1353474901000,1025,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/nov20/3.png,1353474902000,1025,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/nov20/2.png,1353474903000,1025,768
/Users/fanguo/Documents/Design File/Gamification/onboarding/Nov27/2.png,1353474903000,1025,768
/Users/fanguo/Documents/Design File/Gamification/onboarding/nov20/1.png,1353474904000,1025,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/Nov27/1.png,1353474904000,1025,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/nov20/0.png,1353474905000,1025,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/Nov27/0.png,1353474905000,1025,769
/Users/fanguo/Documents/Design File/FUSEmanager/mockup/1.png,1353479040000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/mockup/2.png,1353537344000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/main-06.png,1353538499000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/Navigation/main-07.png,1353538499000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/MyTeam/teamOverview.png,1353960810000,1024,768
/Users/fanguo/Documents/Design File/Gamification/onboarding/Nov27/onBoarding_3_final-02.png,1354039943000,1025,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/Nov27/onBoarding_3_final-03.png,1354039944000,1025,769
/Users/fanguo/Documents/Design File/Gamification/onboarding/Nov27/onBoarding_3_final-04.png,1354039945000,1025,769
/Users/fanguo/Documents/Design File/Gamification/AddGoal_2.png,1354141266000,1024,769
/Users/fanguo/Documents/Design File/Gamification/AddGoal_1.png,1354141278000,1024,769
/Users/fanguo/Documents/Design File/Gamification/AddGoal_0.png,1354141294000,1024,768
/Users/fanguo/Documents/Design File/Gamification/AddGoal_ALT_2.png,1354141306000,1024,769
/Users/fanguo/Documents/Design File/Gamification/AddGoal_ALT_1.png,1354141316000,1024,769
/Users/fanguo/Documents/Design File/Gamification/AddGoal_ALT_0.png,1354141328000,1024,768
/Users/fanguo/Documents/Design File/Gamification/onBoarding_v3-08.png,1354146465000,1025,769
/Users/fanguo/Documents/Design File/FUSEmanager/SpringBoard/FUSE_Springboard.png,1354153459000,4290,1649
/Users/fanguo/Documents/Design File/Gamification/onBoarding_welcomel-04.png,1354231059000,1024,769
/Users/fanguo/Documents/Design File/FUSEmanager/mockup/swipe_1_employee.png,1354235720000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/mockup/swipe_1_manager.png,1354235739000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/mockup/swipe_2_employee.png,1354235760000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/mockup/swipe_3_employee.png,1354235790000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/mockup/swipe_3_manager.png,1354235908000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/mockup/swipe_2_manager.png,1354235930000,1024,768
/Users/fanguo/Documents/Design File/FUSEmanager/MyTeam/Export/Dec5/teamOverview-05.png,1354756332000,1025,769
/Users/fanguo/Documents/Design File/FUSEmanager/MyTeam/Export/Dec5/teamOverview-06.png,1354756334000,1025,769
